,img_idx,age_label,age_cat,gender_label,ethnicity_label,gender,ethnicity,age,data_file
20965,data/utk_face/images/28_0_4_20170117202327093.jpg.chip.jpg,3,15-30,0,4,male,other,28,utk_face
16979,data/utk_face/images/28_0_1_20170113161237182.jpg.chip.jpg,3,15-30,0,1,male,black,28,utk_face
10661,data/utk_face/images/50_1_0_20170117174644414.jpg.chip.jpg,5,41-65,1,0,female,white,50,utk_face
1471,data/utk_face/images/30_0_2_20170116163631134.jpg.chip.jpg,3,15-30,0,2,male,asian,30,utk_face
8570,data/utk_face/images/26_1_1_20170117170703265.jpg.chip.jpg,3,15-30,1,1,female,black,26,utk_face
13372,data/utk_face/images/36_0_0_20170117135846415.jpg.chip.jpg,4,31-40,0,0,male,white,36,utk_face
20863,data/utk_face/images/26_0_3_20170117153142796.jpg.chip.jpg,3,15-30,0,3,male,indian,26,utk_face
10349,data/utk_face/images/2_1_0_20170109194422798.jpg.chip.jpg,0,0-2,1,0,female,white,2,utk_face
11033,data/utk_face/images/28_0_1_20170116210106319.jpg.chip.jpg,3,15-30,0,1,male,black,28,utk_face
4918,data/utk_face/images/10_0_1_20170110223848885.jpg.chip.jpg,2,7-14,0,1,male,black,10,utk_face
12599,data/utk_face/images/51_1_0_20170110160643172.jpg.chip.jpg,5,41-65,1,0,female,white,51,utk_face
21353,data/utk_face/images/24_1_2_20170116172607433.jpg.chip.jpg,3,15-30,1,2,female,asian,24,utk_face
14484,data/utk_face/images/34_0_1_20170112213542279.jpg.chip.jpg,4,31-40,0,1,male,black,34,utk_face
18458,data/utk_face/images/28_0_0_20170113132654464.jpg.chip.jpg,3,15-30,0,0,male,white,28,utk_face
13745,data/utk_face/images/53_1_0_20170109012814840.jpg.chip.jpg,5,41-65,1,0,female,white,53,utk_face
1918,data/utk_face/images/70_1_0_20170110143251046.jpg.chip.jpg,6,66-116,1,0,female,white,70,utk_face
15533,data/utk_face/images/28_1_2_20170116164556009.jpg.chip.jpg,3,15-30,1,2,female,asian,28,utk_face
11053,data/utk_face/images/29_0_3_20170119195312988.jpg.chip.jpg,3,15-30,0,3,male,indian,29,utk_face
11184,data/utk_face/images/42_0_3_20170119171532128.jpg.chip.jpg,5,41-65,0,3,male,indian,42,utk_face
11152,data/utk_face/images/3_0_0_20170110212719382.jpg.chip.jpg,1,3-6,0,0,male,white,3,utk_face
7967,data/utk_face/images/17_1_4_20170102234911226.jpg.chip.jpg,3,15-30,1,4,female,other,17,utk_face
18103,data/utk_face/images/23_1_2_20170116173057476.jpg.chip.jpg,3,15-30,1,2,female,asian,23,utk_face
10311,data/utk_face/images/43_0_3_20170119204554406.jpg.chip.jpg,5,41-65,0,3,male,indian,43,utk_face
21726,data/utk_face/images/84_1_0_20170120223609069.jpg.chip.jpg,6,66-116,1,0,female,white,84,utk_face
1944,data/utk_face/images/10_0_0_20170110220557169.jpg.chip.jpg,2,7-14,0,0,male,white,10,utk_face
11831,data/utk_face/images/2_0_4_20170103212058572.jpg.chip.jpg,0,0-2,0,4,male,other,2,utk_face
6698,data/utk_face/images/1_0_2_20161219142452152.jpg.chip.jpg,0,0-2,0,2,male,asian,1,utk_face
8432,data/utk_face/images/40_0_3_20170117170421496.jpg.chip.jpg,4,31-40,0,3,male,indian,40,utk_face
3600,data/utk_face/images/61_0_2_20170112224217444.jpg.chip.jpg,5,41-65,0,2,male,asian,61,utk_face
2620,data/utk_face/images/4_0_0_20170110213539347.jpg.chip.jpg,1,3-6,0,0,male,white,4,utk_face
5850,data/utk_face/images/39_1_0_20170105184017031.jpg.chip.jpg,4,31-40,1,0,female,white,39,utk_face
305,data/utk_face/images/18_0_1_20170109214734802.jpg.chip.jpg,3,15-30,0,1,male,black,18,utk_face
10697,data/utk_face/images/47_1_0_20170109142251314.jpg.chip.jpg,5,41-65,1,0,female,white,47,utk_face
11301,data/utk_face/images/40_0_0_20170117121759794.jpg.chip.jpg,4,31-40,0,0,male,white,40,utk_face
7374,data/utk_face/images/36_0_1_20170116010728979.jpg.chip.jpg,4,31-40,0,1,male,black,36,utk_face
18305,data/utk_face/images/54_0_3_20170119210215231.jpg.chip.jpg,5,41-65,0,3,male,indian,54,utk_face
12338,data/utk_face/images/20_1_1_20170114031112464.jpg.chip.jpg,3,15-30,1,1,female,black,20,utk_face
19583,data/utk_face/images/22_1_0_20170109213059848.jpg.chip.jpg,3,15-30,1,0,female,white,22,utk_face
4489,data/utk_face/images/1_0_0_20161219202455708.jpg.chip.jpg,0,0-2,0,0,male,white,1,utk_face
15111,data/utk_face/images/58_0_0_20170104002241806.jpg.chip.jpg,5,41-65,0,0,male,white,58,utk_face
8250,data/utk_face/images/53_0_0_20170112215345416.jpg.chip.jpg,5,41-65,0,0,male,white,53,utk_face
3355,data/utk_face/images/50_0_0_20170109004250555.jpg.chip.jpg,5,41-65,0,0,male,white,50,utk_face
8976,data/utk_face/images/54_0_1_20170117173717615.jpg.chip.jpg,5,41-65,0,1,male,black,54,utk_face
15555,data/utk_face/images/29_1_4_20170117202704359.jpg.chip.jpg,3,15-30,1,4,female,other,29,utk_face
14281,data/utk_face/images/8_1_0_20170109203552679.jpg.chip.jpg,2,7-14,1,0,female,white,8,utk_face
18001,data/utk_face/images/43_0_0_20170117175212882.jpg.chip.jpg,5,41-65,0,0,male,white,43,utk_face
5041,data/utk_face/images/32_1_3_20170104231906826.jpg.chip.jpg,4,31-40,1,3,female,indian,32,utk_face
4442,data/utk_face/images/26_1_4_20170117153408062.jpg.chip.jpg,3,15-30,1,4,female,other,26,utk_face
16606,data/utk_face/images/61_0_3_20170119211812241.jpg.chip.jpg,5,41-65,0,3,male,indian,61,utk_face
124,data/utk_face/images/17_1_0_20170104005759343.jpg.chip.jpg,3,15-30,1,0,female,white,17,utk_face
13913,data/utk_face/images/27_1_1_20170112203947771.jpg.chip.jpg,3,15-30,1,1,female,black,27,utk_face
20565,data/utk_face/images/32_0_0_20170116224633761.jpg.chip.jpg,4,31-40,0,0,male,white,32,utk_face
21000,data/utk_face/images/59_1_1_20170116203506659.jpg.chip.jpg,5,41-65,1,1,female,black,59,utk_face
2490,data/utk_face/images/62_0_0_20170104170229321.jpg.chip.jpg,5,41-65,0,0,male,white,62,utk_face
6291,data/utk_face/images/42_1_0_20170103183246362.jpg.chip.jpg,5,41-65,1,0,female,white,42,utk_face
17271,data/utk_face/images/34_0_3_20170119162704132.jpg.chip.jpg,4,31-40,0,3,male,indian,34,utk_face
18326,data/utk_face/images/26_0_3_20170117152547043.jpg.chip.jpg,3,15-30,0,3,male,indian,26,utk_face
5467,data/utk_face/images/55_0_0_20170113185136832.jpg.chip.jpg,5,41-65,0,0,male,white,55,utk_face
5254,data/utk_face/images/59_0_0_20170117175959580.jpg.chip.jpg,5,41-65,0,0,male,white,59,utk_face
10006,data/utk_face/images/24_1_2_20170116174610352.jpg.chip.jpg,3,15-30,1,2,female,asian,24,utk_face
22050,data/utk_face/images/78_0_0_20170111222546535.jpg.chip.jpg,6,66-116,0,0,male,white,78,utk_face
20815,data/utk_face/images/13_0_0_20170104003724576.jpg.chip.jpg,2,7-14,0,0,male,white,13,utk_face
3706,data/utk_face/images/86_1_0_20170120225525242.jpg.chip.jpg,6,66-116,1,0,female,white,86,utk_face
21980,data/utk_face/images/38_1_1_20170116020420048.jpg.chip.jpg,4,31-40,1,1,female,black,38,utk_face
5429,data/utk_face/images/56_1_0_20170120133230636.jpg.chip.jpg,5,41-65,1,0,female,white,56,utk_face
15076,data/utk_face/images/2_0_2_20161219162359990.jpg.chip.jpg,0,0-2,0,2,male,asian,2,utk_face
13962,data/utk_face/images/54_0_0_20170111210429835.jpg.chip.jpg,5,41-65,0,0,male,white,54,utk_face
8608,data/utk_face/images/28_0_1_20170117202336846.jpg.chip.jpg,3,15-30,0,1,male,black,28,utk_face
16460,data/utk_face/images/27_1_3_20170119155424633.jpg.chip.jpg,3,15-30,1,3,female,indian,27,utk_face
16987,data/utk_face/images/67_1_0_20170110153312575.jpg.chip.jpg,6,66-116,1,0,female,white,67,utk_face
4832,data/utk_face/images/28_1_1_20170117022211139.jpg.chip.jpg,3,15-30,1,1,female,black,28,utk_face
9468,data/utk_face/images/40_0_0_20170117182122332.jpg.chip.jpg,4,31-40,0,0,male,white,40,utk_face
7025,data/utk_face/images/26_1_0_20170116171048641.jpg.chip.jpg,3,15-30,1,0,female,white,26,utk_face
9194,data/utk_face/images/68_0_0_20170119212026025.jpg.chip.jpg,6,66-116,0,0,male,white,68,utk_face
6376,data/utk_face/images/50_0_3_20170119205521664.jpg.chip.jpg,5,41-65,0,3,male,indian,50,utk_face
1450,data/utk_face/images/15_0_0_20170110225440579.jpg.chip.jpg,3,15-30,0,0,male,white,15,utk_face
21254,data/utk_face/images/26_1_2_20170116175850875.jpg.chip.jpg,3,15-30,1,2,female,asian,26,utk_face
9274,data/utk_face/images/47_0_0_20170117135932141.jpg.chip.jpg,5,41-65,0,0,male,white,47,utk_face
6410,data/utk_face/images/26_0_0_20170117144510833.jpg.chip.jpg,3,15-30,0,0,male,white,26,utk_face
3216,data/utk_face/images/23_1_2_20170116173014665.jpg.chip.jpg,3,15-30,1,2,female,asian,23,utk_face
22422,data/utk_face/images/90_1_0_20170120230312163.jpg.chip.jpg,6,66-116,1,0,female,white,90,utk_face
14351,data/utk_face/images/65_1_0_20170110122721426.jpg.chip.jpg,5,41-65,1,0,female,white,65,utk_face
4386,data/utk_face/images/50_0_0_20170117135334839.jpg.chip.jpg,5,41-65,0,0,male,white,50,utk_face
19686,data/utk_face/images/10_1_0_20170109203642966.jpg.chip.jpg,2,7-14,1,0,female,white,10,utk_face
21784,data/utk_face/images/1_1_4_20170103210113314.jpg.chip.jpg,0,0-2,1,4,female,other,1,utk_face
8267,data/utk_face/images/35_0_0_20170117150935786.jpg.chip.jpg,4,31-40,0,0,male,white,35,utk_face
8885,data/utk_face/images/49_0_0_20170104213117085.jpg.chip.jpg,5,41-65,0,0,male,white,49,utk_face
2769,data/utk_face/images/27_1_0_20170103230354912.jpg.chip.jpg,3,15-30,1,0,female,white,27,utk_face
15355,data/utk_face/images/65_0_0_20170111193847133.jpg.chip.jpg,5,41-65,0,0,male,white,65,utk_face
17663,data/utk_face/images/6_1_4_20161223232234756.jpg.chip.jpg,1,3-6,1,4,female,other,6,utk_face
16910,data/utk_face/images/54_0_3_20170119210222264.jpg.chip.jpg,5,41-65,0,3,male,indian,54,utk_face
21159,data/utk_face/images/65_1_3_20170109141910621.jpg.chip.jpg,5,41-65,1,3,female,indian,65,utk_face
21233,data/utk_face/images/1_1_3_20161220145219616.jpg.chip.jpg,0,0-2,1,3,female,indian,1,utk_face
19799,data/utk_face/images/55_0_0_20170104201309249.jpg.chip.jpg,5,41-65,0,0,male,white,55,utk_face
8254,data/utk_face/images/24_1_3_20161220222118601.jpg.chip.jpg,3,15-30,1,3,female,indian,24,utk_face
15505,data/utk_face/images/6_1_3_20161220221604706.jpg.chip.jpg,1,3-6,1,3,female,indian,6,utk_face
8175,data/utk_face/images/26_1_3_20170119192124129.jpg.chip.jpg,3,15-30,1,3,female,indian,26,utk_face
10651,data/utk_face/images/37_0_0_20170117135948781.jpg.chip.jpg,4,31-40,0,0,male,white,37,utk_face
6815,data/utk_face/images/30_1_0_20170117181336564.jpg.chip.jpg,3,15-30,1,0,female,white,30,utk_face
12576,data/utk_face/images/47_0_0_20170119205119560.jpg.chip.jpg,5,41-65,0,0,male,white,47,utk_face
12074,data/utk_face/images/24_1_1_20170117022255162.jpg.chip.jpg,3,15-30,1,1,female,black,24,utk_face
12841,data/utk_face/images/40_0_2_20170117155231261.jpg.chip.jpg,4,31-40,0,2,male,asian,40,utk_face
7386,data/utk_face/images/35_0_0_20170117151812445.jpg.chip.jpg,4,31-40,0,0,male,white,35,utk_face
18701,data/utk_face/images/18_1_1_20170113005132350.jpg.chip.jpg,3,15-30,1,1,female,black,18,utk_face
5115,data/utk_face/images/4_0_0_20170110225200150.jpg.chip.jpg,1,3-6,0,0,male,white,4,utk_face
121,data/utk_face/images/3_1_3_20161219225534376.jpg.chip.jpg,1,3-6,1,3,female,indian,3,utk_face
12360,data/utk_face/images/28_0_1_20170113142412428.jpg.chip.jpg,3,15-30,0,1,male,black,28,utk_face
14558,data/utk_face/images/27_0_0_20170105175510406.jpg.chip.jpg,3,15-30,0,0,male,white,27,utk_face
9815,data/utk_face/images/22_1_0_20170111182452750.jpg.chip.jpg,3,15-30,1,0,female,white,22,utk_face
15424,data/utk_face/images/73_0_1_20170117195315175.jpg.chip.jpg,6,66-116,0,1,male,black,73,utk_face
2335,data/utk_face/images/30_0_0_20170117125951293.jpg.chip.jpg,3,15-30,0,0,male,white,30,utk_face
4426,data/utk_face/images/26_0_3_20170117154746934.jpg.chip.jpg,3,15-30,0,3,male,indian,26,utk_face
7331,data/utk_face/images/55_1_0_20170120222035182.jpg.chip.jpg,5,41-65,1,0,female,white,55,utk_face
11315,data/utk_face/images/45_0_0_20170117180911771.jpg.chip.jpg,5,41-65,0,0,male,white,45,utk_face
17444,data/utk_face/images/40_0_1_20170116201948808.jpg.chip.jpg,4,31-40,0,1,male,black,40,utk_face
20680,data/utk_face/images/73_1_0_20170120230425625.jpg.chip.jpg,6,66-116,1,0,female,white,73,utk_face
2874,data/utk_face/images/18_1_0_20170109214004496.jpg.chip.jpg,3,15-30,1,0,female,white,18,utk_face
14635,data/utk_face/images/40_1_3_20170119145610534.jpg.chip.jpg,4,31-40,1,3,female,indian,40,utk_face
20825,data/utk_face/images/1_0_2_20161219222527222.jpg.chip.jpg,0,0-2,0,2,male,asian,1,utk_face
12601,data/utk_face/images/40_1_1_20170113000039241.jpg.chip.jpg,4,31-40,1,1,female,black,40,utk_face
4392,data/utk_face/images/25_0_2_20170116165108577.jpg.chip.jpg,3,15-30,0,2,male,asian,25,utk_face
21312,data/utk_face/images/60_1_1_20170110151459404.jpg.chip.jpg,5,41-65,1,1,female,black,60,utk_face
9622,data/utk_face/images/8_0_0_20170110215618155.jpg.chip.jpg,2,7-14,0,0,male,white,8,utk_face
20523,data/utk_face/images/31_1_0_20170103182729649.jpg.chip.jpg,4,31-40,1,0,female,white,31,utk_face
18143,data/utk_face/images/9_0_0_20170110220441522.jpg.chip.jpg,2,7-14,0,0,male,white,9,utk_face
21032,data/utk_face/images/38_1_1_20170113010502255.jpg.chip.jpg,4,31-40,1,1,female,black,38,utk_face
11795,data/utk_face/images/19_1_1_20170113012937783.jpg.chip.jpg,3,15-30,1,1,female,black,19,utk_face
5714,data/utk_face/images/26_0_3_20170119180445229.jpg.chip.jpg,3,15-30,0,3,male,indian,26,utk_face
10094,data/utk_face/images/3_0_2_20161219212426998.jpg.chip.jpg,1,3-6,0,2,male,asian,3,utk_face
12888,data/utk_face/images/25_1_3_20170104232058250.jpg.chip.jpg,3,15-30,1,3,female,indian,25,utk_face
22667,data/utk_face/images/46_0_1_20170113173056321.jpg.chip.jpg,5,41-65,0,1,male,black,46,utk_face
3664,data/utk_face/images/35_0_0_20170117190124521.jpg.chip.jpg,4,31-40,0,0,male,white,35,utk_face
22811,data/utk_face/images/28_1_2_20170116162739672.jpg.chip.jpg,3,15-30,1,2,female,asian,28,utk_face
10491,data/utk_face/images/30_1_3_20170109132828919.jpg.chip.jpg,3,15-30,1,3,female,indian,30,utk_face
5279,data/utk_face/images/34_0_0_20170117134917423.jpg.chip.jpg,4,31-40,0,0,male,white,34,utk_face
1029,data/utk_face/images/47_0_0_20170117195457344.jpg.chip.jpg,5,41-65,0,0,male,white,47,utk_face
6274,data/utk_face/images/18_0_0_20170117133102084.jpg.chip.jpg,3,15-30,0,0,male,white,18,utk_face
15656,data/utk_face/images/53_0_0_20170104210640915.jpg.chip.jpg,5,41-65,0,0,male,white,53,utk_face
22537,data/utk_face/images/44_0_3_20170119165428991.jpg.chip.jpg,5,41-65,0,3,male,indian,44,utk_face
16499,data/utk_face/images/26_0_0_20170102233359482.jpg.chip.jpg,3,15-30,0,0,male,white,26,utk_face
774,data/utk_face/images/63_0_0_20170120225657034.jpg.chip.jpg,5,41-65,0,0,male,white,63,utk_face
5703,data/utk_face/images/52_1_0_20170109013524205.jpg.chip.jpg,5,41-65,1,0,female,white,52,utk_face
2001,data/utk_face/images/28_0_0_20170116211700944.jpg.chip.jpg,3,15-30,0,0,male,white,28,utk_face
12227,data/utk_face/images/7_1_0_20170109203621621.jpg.chip.jpg,2,7-14,1,0,female,white,7,utk_face
10862,data/utk_face/images/3_1_0_20170109192003664.jpg.chip.jpg,1,3-6,1,0,female,white,3,utk_face
16554,data/utk_face/images/26_1_1_20170116231832606.jpg.chip.jpg,3,15-30,1,1,female,black,26,utk_face
9611,data/utk_face/images/52_1_0_20170110153711933.jpg.chip.jpg,5,41-65,1,0,female,white,52,utk_face
23657,data/utk_face/images/57_1_0_20170110122411678.jpg.chip.jpg,5,41-65,1,0,female,white,57,utk_face
4271,data/utk_face/images/24_0_2_20170116170633399.jpg.chip.jpg,3,15-30,0,2,male,asian,24,utk_face
3536,data/utk_face/images/28_1_0_20170116000534759.jpg.chip.jpg,3,15-30,1,0,female,white,28,utk_face
11099,data/utk_face/images/51_0_0_20170113183747149.jpg.chip.jpg,5,41-65,0,0,male,white,51,utk_face
4292,data/utk_face/images/70_1_1_20170120222723433.jpg.chip.jpg,6,66-116,1,1,female,black,70,utk_face
9694,data/utk_face/images/18_1_0_20170109214646809.jpg.chip.jpg,3,15-30,1,0,female,white,18,utk_face
18237,data/utk_face/images/20_0_0_20170117141002911.jpg.chip.jpg,3,15-30,0,0,male,white,20,utk_face
3395,data/utk_face/images/5_1_2_20161219204056708.jpg.chip.jpg,1,3-6,1,2,female,asian,5,utk_face
15629,data/utk_face/images/35_0_4_20170117171324867.jpg.chip.jpg,4,31-40,0,4,male,other,35,utk_face
17877,data/utk_face/images/55_0_0_20170120222221343.jpg.chip.jpg,5,41-65,0,0,male,white,55,utk_face
8004,data/utk_face/images/35_1_4_20170117121903506.jpg.chip.jpg,4,31-40,1,4,female,other,35,utk_face
12388,data/utk_face/images/22_0_0_20170116220518146.jpg.chip.jpg,3,15-30,0,0,male,white,22,utk_face
15814,data/utk_face/images/16_0_0_20170120133327900.jpg.chip.jpg,3,15-30,0,0,male,white,16,utk_face
8364,data/utk_face/images/51_0_3_20170119205626592.jpg.chip.jpg,5,41-65,0,3,male,indian,51,utk_face
213,data/utk_face/images/58_1_0_20170104212157395.jpg.chip.jpg,5,41-65,1,0,female,white,58,utk_face
8499,data/utk_face/images/40_1_0_20170117091853557.jpg.chip.jpg,4,31-40,1,0,female,white,40,utk_face
5918,data/utk_face/images/27_1_1_20170117010425092.jpg.chip.jpg,3,15-30,1,1,female,black,27,utk_face
19753,data/utk_face/images/8_0_0_20170110225358551.jpg.chip.jpg,2,7-14,0,0,male,white,8,utk_face
19519,data/utk_face/images/17_0_0_20170117193043124.jpg.chip.jpg,3,15-30,0,0,male,white,17,utk_face
13869,data/utk_face/images/52_1_0_20170104210704511.jpg.chip.jpg,5,41-65,1,0,female,white,52,utk_face
18621,data/utk_face/images/26_1_1_20170116222916879.jpg.chip.jpg,3,15-30,1,1,female,black,26,utk_face
872,data/utk_face/images/40_0_0_20170117135450087.jpg.chip.jpg,4,31-40,0,0,male,white,40,utk_face
17154,data/utk_face/images/20_1_2_20170104020739364.jpg.chip.jpg,3,15-30,1,2,female,asian,20,utk_face
3590,data/utk_face/images/26_0_1_20170103181054528.jpg.chip.jpg,3,15-30,0,1,male,black,26,utk_face
3580,data/utk_face/images/38_0_1_20170117022153861.jpg.chip.jpg,4,31-40,0,1,male,black,38,utk_face
6675,data/utk_face/images/22_1_3_20170104231657849.jpg.chip.jpg,3,15-30,1,3,female,indian,22,utk_face
2028,data/utk_face/images/2_1_4_20170103202730376.jpg.chip.jpg,0,0-2,1,4,female,other,2,utk_face
1653,data/utk_face/images/70_0_0_20170117173907575.jpg.chip.jpg,6,66-116,0,0,male,white,70,utk_face
4191,data/utk_face/images/28_0_2_20170116190050357.jpg.chip.jpg,3,15-30,0,2,male,asian,28,utk_face
3773,data/utk_face/images/23_1_4_20170103224510895.jpg.chip.jpg,3,15-30,1,4,female,other,23,utk_face
16519,data/utk_face/images/35_1_3_20170104220136126.jpg.chip.jpg,4,31-40,1,3,female,indian,35,utk_face
20358,data/utk_face/images/53_0_0_20170117163654249.jpg.chip.jpg,5,41-65,0,0,male,white,53,utk_face
19954,data/utk_face/images/35_0_0_20170117184839855.jpg.chip.jpg,4,31-40,0,0,male,white,35,utk_face
17771,data/utk_face/images/25_1_3_20161220221512186.jpg.chip.jpg,3,15-30,1,3,female,indian,25,utk_face
12873,data/utk_face/images/29_0_0_20170117180918673.jpg.chip.jpg,3,15-30,0,0,male,white,29,utk_face
412,data/utk_face/images/31_1_1_20170116180028746.jpg.chip.jpg,4,31-40,1,1,female,black,31,utk_face
13856,data/utk_face/images/4_0_2_20161219194148499.jpg.chip.jpg,1,3-6,0,2,male,asian,4,utk_face
9472,data/utk_face/images/35_1_1_20170112230432254.jpg.chip.jpg,4,31-40,1,1,female,black,35,utk_face
15914,data/utk_face/images/90_1_0_20170120230204074.jpg.chip.jpg,6,66-116,1,0,female,white,90,utk_face
22274,data/utk_face/images/10_0_1_20170110225339066.jpg.chip.jpg,2,7-14,0,1,male,black,10,utk_face
18769,data/utk_face/images/26_1_1_20170116233337587.jpg.chip.jpg,3,15-30,1,1,female,black,26,utk_face
14274,data/utk_face/images/27_1_1_20170117013838382.jpg.chip.jpg,3,15-30,1,1,female,black,27,utk_face
17981,data/utk_face/images/34_1_1_20170116012243049.jpg.chip.jpg,4,31-40,1,1,female,black,34,utk_face
14177,data/utk_face/images/32_0_0_20170116182638639.jpg.chip.jpg,4,31-40,0,0,male,white,32,utk_face
15471,data/utk_face/images/31_0_2_20170112191137663.jpg.chip.jpg,4,31-40,0,2,male,asian,31,utk_face
5544,data/utk_face/images/30_1_2_20170104020950540.jpg.chip.jpg,3,15-30,1,2,female,asian,30,utk_face
12552,data/utk_face/images/1_0_2_20161219211823957.jpg.chip.jpg,0,0-2,0,2,male,asian,1,utk_face
12405,data/utk_face/images/6_1_2_20161219151445563.jpg.chip.jpg,1,3-6,1,2,female,asian,6,utk_face
1118,data/utk_face/images/4_1_4_20161221195434215.jpg.chip.jpg,1,3-6,1,4,female,other,4,utk_face
4608,data/utk_face/images/50_0_0_20170104021859988.jpg.chip.jpg,5,41-65,0,0,male,white,50,utk_face
